,sentence,stem_sen,vid_path
0,WE NEED TO GET TOGETHER AND DO SOMETHING,we need to get togeth and do someth,../main/6265014249045490198/00067.mp4
1,ODAY THOSE NATIONS FACE EACH OTHER ONCE AGAIN,oday those nation face each other onc again,../main/6199248421318950108/00001.mp4
2,HAT IS SOMETHING THAT PEOPLE OFTEN ASK ABOUT,hat is someth that peopl often ask about,../main/5931286270714889327/00005.mp4
3,GIVEN THESE TRAUMATIC EVENTS EARLY IN THEIR LIVES,given these traumat event earli in their live,../main/5860409002409381178/00006.mp4
4,HIS PROCESS WOULD TAKE HOURS ON A MASSIVE,hi process would take hour on a massiv,../main/6079751264229168216/00023.mp4
5,YOU COULD BE STARTING SOMETHING THERE,you could be start someth there,../main/6214795343936996358/00009.mp4
6,WE WOULD NOT HAVE LIVED THROUGH NEW LABOUR,we would not have live through new labour,../main/6329151425173313518/00087.mp4
7,WE WOULD PROBABLY HAVE A DIFFERENT NATIONAL IDENTITY,we would probabl have a differ nation ident,../main/5971456240840925439/00001.mp4
8,WE WOULD PROBABLY HAVE A DIFFERENT NATIONAL IDENTITY,we would probabl have a differ nation ident,../main/6327713470253076639/00002.mp4
9,BEFORE PEOPLE ARE ALLOWED TO HAVE CHILDREN,befor peopl are allow to have children,../main/6190640018367506718/00022.mp4
10,PRESIDENT OBAMA SAYS IT CAN'T BE RULED OUT,presid obama say it can't be rule out,../main/6224142051766557322/00028.mp4
11,WHEN PEOPLE START TALKING ABOUT ENGAGEMENT AND PROCESS,when peopl start talk about engag and process,../main/6085638375901866340/00003.mp4
12,IT COULD BE A SMALL PRICE TO PAY,it could be a small price to pay,../main/6001034821615084520/00034.mp4
13,ANYTHING YOU CAN REMEMBER COULD BE OF HELP,anyth you can rememb could be of help,../main/5547327790864258654/00002.mp4
14,HAT IS SOMETHING THAT PEOPLE OFTEN ASK ABOUT,hat is someth that peopl often ask about,../main/6159178953427582567/00006.mp4
15,I'M HAVING NOTHING TO DO WITH THOSE THINGS,i'm have noth to do with those thing,../main/5939825095196073869/00014.mp4
